User Input,Response,sentiment,entities,context
im fine how about yourself,i'm pretty good. thanks for asking.,,,m
im pretty good thanks for asking,no problem. so how have you been?,,,m
no problem so how have you been,i've been great. what about you?,,,been
ive been great what about you,i've been good. i'm in school right now.,,,been
ive been good im in school right now,what school do you go to?,,,been m
what school do you go to,i go to pcc.,,,go
i go to pcc,do you like it there?,,,go
do you like it there,it's okay. it's a really big campus.,,,like
its okay its a really big campus,good luck with school.,,,campus
good luck with school,thank you very much.,,,luck
hows it going,i'm doing well. how about you?,,,going
im doing well how about you,"never better, thanks.",,,doing
never better thanks,so how have you been lately?,,,thanks
so how have you been lately,i've actually been pretty good. you?,,,been
ive actually been pretty good you,i'm actually in school right now.,,,been
im actually in school right now,which school do you attend?,,,m
which school do you attend,i'm attending pcc right now.,,,attend
im attending pcc right now,are you enjoying it there?,,,attending
are you enjoying it there,it's not bad. there are a lot of people there.,,,enjoying
its not bad there are a lot of people there,good luck with that.,,,are
good luck with that,thanks.,,,luck
how are you doing today,i'm doing great. what about you?,,,doing
im doing great what about you,"i'm absolutely lovely, thank you.",,,doing
im absolutely lovely thank you,everything's been good with you?,,,m
everythings been good with you,i haven't been better. how about yourself?,,,been
i havent been better how about yourself,i started school recently.,,,been
i started school recently,where are you going to school?,,,started
where are you going to school,i'm going to pcc.,,,going
im going to pcc,how do you like it so far?,,,going
how do you like it so far,i like it so far. my classes are pretty good right now.,,,like
i like it so far my classes are pretty good right now,i wish you luck.,,,like
its an ugly day today,i know. i think it may rain.,,,day
i know i think it may rain,"it's the middle of summer, it shouldn't rain today.",,,think
its the middle of summer it shouldnt rain today,that would be weird.,,,rain
that would be weird,"yeah, especially since it's ninety degrees outside.",,,be
yeah especially since its ninety degrees outside,"i know, it would be horrible if it rained and it was hot outside.",,,degrees
i know it would be horrible if it rained and it was hot outside,"yes, it would be. ",,,know
yes it would be ,i really wish it wasn't so hot every day. ,,,be
i really wish it wasnt so hot every day ,me too. i can't wait until winter.,,,wish
me too i cant wait until winter,"i like winter too, but sometimes it gets too cold.",,,wait
i like winter too but sometimes it gets too cold,i'd rather be cold than hot.,,,like gets
id rather be cold than hot,me too.,,,be
it doesnt look very nice outside today,you're right. i think it's going to rain later.,,,look
youre right i think its going to rain later,"in the middle of the summer, it shouldn't be raining.",,,re think
in the middle of the summer it shouldnt be raining,that wouldn't seem right.,,,raining
that wouldnt seem right,"considering that it's over ninety degrees outside, that would be weird.",,,seem
considering that its over ninety degrees outside that would be weird,"exactly, it wouldn't be nice if it started raining. it's too hot.",,,considering
exactly it wouldnt be nice if it started raining its too hot,"i know, you're absolutely right.",,,be
i know youre absolutely right,i wish it would cool off one day.,,,know
i wish it would cool off one day,"that's how i feel, i want winter to come soon.",,,wish
thats how i feel i want winter to come soon,"i enjoy the winter, but it gets really cold sometimes.",,,s
i enjoy the winter but it gets really cold sometimes,"i know what you mean, but i'd rather be cold than hot.",,,enjoy
i know what you mean but id rather be cold than hot,that's exactly how i feel.,,,know
i wish it was a nicer day today,that is true. i hope it doesn't rain.,,,wish
that is true i hope it doesnt rain,it wouldn't rain in the middle of the summer.,,,is hope
it wouldnt rain in the middle of the summer,it wouldn't seem right if it started raining right now.,,,rain
it wouldnt seem right if it started raining right now,it would be weird if it started raining in ninety degree weather.,,,seem
it would be weird if it started raining in ninety degree weather,any rain right now would be pointless.,,,be
any rain right now would be pointless,"that's right, it really would be.",,,be
thats right it really would be,i want it to cool down some.,,,s
i want it to cool down some,"i know what you mean, i can't wait until it's winter.",,,want
i know what you mean i cant wait until its winter,winter is great. i wish it didn't get so cold sometimes though.,,,know
winter is great i wish it didnt get so cold sometimes though,i would rather deal with the winter than the summer.,,,is wish
its such a nice day,"yes, it is.",,,day
yes it is,it looks like it may rain soon.,,,is
it looks like it may rain soon,"yes, and i hope that it does.",,,looks
yes and i hope that it does,why is that?,,,hope
why is that,i really love how rain clears the air.,,,is
i really love how rain clears the air,me too. it always smells so fresh after it rains.,,,love
me too it always smells so fresh after it rains,"yes, but i love the night air after it rains.",,,smells
yes but i love the night air after it rains,really? why is it?,,,love
really why is it,because you can see the stars perfectly.,,,is
because you can see the stars perfectly,i really hope it rains today.,,,see
i really hope it rains today,"yeah, me too.",,,hope
isnt it a nice day,it really is.,,,is
it really is,it seems that it may rain today.,,,is
it seems that it may rain today,hopefully it will.,,,seems
hopefully it will,how come?,,,will
how come,i like how clear the sky gets after it rains.,,,come
i like how clear the sky gets after it rains,i feel the same way. it smells so good after it rains.,,,like
i feel the same way it smells so good after it rains,i especially love the night air when it rains.,,,feel
i especially love the night air when it rains,really? why?,,,love
really why,the stars look so much closer after it rains.,,,why
the stars look so much closer after it rains,i really want it to rain today.,,,look
i really want it to rain today,"yeah, so do i.",,,want
dont you think its nice out,"yes, i think so too.",,,think
yes i think so too,i think that it's going to rain.,,,think
i think that its going to rain,i hope that it does rain.,,,think
i hope that it does rain,you like the rain?,,,hope
you like the rain,the sky looks so clean after it rains. i love it.,,,like
the sky looks so clean after it rains i love it,i understand. rain does make it smell cleaner.,,,looks
i understand rain does make it smell cleaner,i love most how it is at night after it rains.,,,understand
i love most how it is at night after it rains,how come?,,,love
how come,you can see the stars so much more clearly after it rains.,,,come
you can see the stars so much more clearly after it rains,i would love for it to rain today.,,,see
i really want to go to the beach this weekend,that sounds like fun. what's the weather going to be like?,,,want
that sounds like fun whats the weather going to be like,i heard that it's going to be warm this weekend.,,,sounds
i heard that its going to be warm this weekend,is it going to be perfect beach weather?,,,heard
is it going to be perfect beach weather,i believe so.,,,going
i believe so,good. i hope it doesn't cool off this weekend.,,,believe
good i hope it doesnt cool off this weekend,i know. i really want to go to the beach.,,,good hope
i know i really want to go to the beach,but you know that california weather is really unpredictable.,,,want
but you know that california weather is really unpredictable,"you're right. one minute it's hot, and then the next minute it's cold.",,,know
youre right one minute its hot and then the next minute its cold,i really wish the weather would just stay the same.,,,re minute
i really wish the weather would just stay the same,i do too. that way we can have our activities planned ahead of time.,,,wish
i do too that way we can have our activities planned ahead of time,"yeah, that would make things a lot easier.",,,do
i would like to take a trip to the beach this weekend,a trip to the beach would be fun. how is the weather going to be?,,,like
a trip to the beach would be fun how is the weather going to be,the forecast says that it will be warm on the weekend.,,,be
the forecast says that it will be warm on the weekend,so do you think it'll be perfect weather for the beach?,,,says
so do you think itll be perfect weather for the beach,it sounds like it will be.,,,think
it sounds like it will be,i really hope it doesn't get cold.,,,sounds
i really hope it doesnt get cold,"that would ruin things, i want to go so badly.",,,hope
that would ruin things i want to go so badly,"the weather in california is unpredictable, so you never know.",,,ruin
the weather in california is unpredictable so you never know,that is true. the weather is constantly changing.,,,is
that is true the weather is constantly changing,it would be nice if the weather would never change.,,,is
it would be nice if the weather would never change,"that would be great, then we could plan things sooner.",,,be
that would be great then we could plan things sooner,true. predictable weather would make life easier.,,,plan
it would be nice to go to the beach sometime this weekend,what's the weather going to be like? i may want to go too.,,,be
whats the weather going to be like i may want to go too,the weather this weekend is supposed to be warm.,,,going
the weather this weekend is supposed to be warm,will it be good beach weather?,,,supposed
will it be good beach weather,i think it will be.,,,be
i think it will be,it wouldn't be good if it got cold this weekend.,,,think
it wouldnt be good if it got cold this weekend,"i want this trip to be perfect, i hope it stays warm.",,,be
i want this trip to be perfect i hope it stays warm,"this california weather is so uncertain, it's impossible to know what'll happen.",,,want hope
this california weather is so uncertain its impossible to know whatll happen,i know. every day the weather seems different.,,,is
i know every day the weather seems different,i would love it if it wasn't always so unpredictable.,,,know
i would love it if it wasnt always so unpredictable,that would make it easier for us to make plans.,,,love
hello may i speak to alice please,this is she. how's it going?,,,speak
this is she hows it going,i've been trying to call you all day.,,,is
ive been trying to call you all day,sorry about that. i was cleaning up.,,,trying
sorry about that i was cleaning up,it's okay.,,,sorry
its okay,so what were you calling me about?,,,okay
so what were you calling me about,"oh, i just wanted to see if you wanted to hang out tomorrow.",,,calling
oh i just wanted to see if you wanted to hang out tomorrow,"sure, what did you want to do?",,,wanted
sure what did you want to do,maybe we can go see a movie or something.,,,sure
maybe we can go see a movie or something,that sounds like fun. let's do it.,,,go
that sounds like fun lets do it,i'll see you tomorrow then.,,,sounds
ill see you tomorrow then,see you then. goodbye.,,,see
hi how are you is alice there,speaking. what's up?,,,is
speaking whats up,why haven't you answered the phone?,,,speaking
why havent you answered the phone,"my bad, i had chores to do.",,,answered
my bad i had chores to do,that's all right.,,,had
thats all right,what was the reason for your call?,,,s
what was the reason for your call,i want to do something tomorrow with you.,,,was
i want to do something tomorrow with you,sounds good. what did you have in mind?,,,want
sounds good what did you have in mind,i was thinking about seeing a movie.,,,sounds
i was thinking about seeing a movie,"okay, let's go see a movie.",,,thinking
okay lets go see a movie,until then.,,,go
until then,talk to you later.,,,until
is alice available,you're talking to her.,,,is
youre talking to her,i've called you a hundred times today.,,,talking
ive called you a hundred times today,i was busy doing something. i apologize.,,,called
i was busy doing something i apologize,no problem.,,,was
no problem,did you need something?,,,problem
did you need something,do you want to do something tomorrow?,,,need
do you want to do something tomorrow,is there somewhere special you wanted to go?,,,want
is there somewhere special you wanted to go,how about a movie?,,,is
how about a movie,a movie sounds good.,,,movie
a movie sounds good,call me tomorrow then.,,,sounds
have you seen the new girl in school,"no, i haven't.",,,seen
no i havent,she's really pretty.,,,have
shes really pretty,describe her to me.,,,s
describe her to me,she's not too tall.,,,describe
shes not too tall,"well, how tall is she?",,,s
well how tall is she,she's about five feet even.,,,is
shes about five feet even,"what does she look like, though?",,,s
what does she look like though,she has pretty light brown eyes.,,,look
she has pretty light brown eyes,i may know which girl you're talking about.,,,has
i may know which girl youre talking about,so you have seen her around?,,,know
so you have seen her around,"yes, i have.",,,seen
theres a new girl in school have you seen her yet,i haven't seen her yet.,,,seen
i havent seen her yet,i think that she is very pretty.,,,seen
i think that she is very pretty,tell me how she looks.,,,think
tell me how she looks,she's kind of short.,,,tell
shes kind of short,what height is she?,,,s
what height is she,she's probably about five feet.,,,is
shes probably about five feet,"that's nice, but tell me what she looks like.",,,s
thats nice but tell me what she looks like,the first thing i noticed was her beautiful brown eyes.,,,s
the first thing i noticed was her beautiful brown eyes,i think i might've bumped into her before.,,,was
i think i mightve bumped into her before,are you telling me that you've seen her before?,,,think
are you telling me that youve seen her before,i believe so.,,,telling
have you met the new girl,no. have you?,,,met
no have you,she's one of the prettiest girls at the school.,,,have
shes one of the prettiest girls at the school,what does she look like?,,,s
what does she look like,"well, she's quite short.",,,look
well shes quite short,how tall would you say that she is?,,,s
how tall would you say that she is,i would say she's only five feet.,,,say
i would say shes only five feet,what about her facial features?,,,say
what about her facial features,"she has light brown eyes, absolutely beautiful.",,,about
she has light brown eyes absolutely beautiful,i think i know who you're talking about.,,,has
i think i know who youre talking about,have you seen her?,,,think
why werent you at school yesterday,i wasn't really feeling well.,,,were
i wasnt really feeling well,what was wrong with you?,,,feeling
